Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BTN,Bhutan,CO2 emissions (kt),396.036,385.035,418.038,377.70099999999996,308.028,396.036,392.369,392.369,421.705,388.702,487.711,733.4,836.076,920.4169999999999,1037.761,1067.097
BWA,Botswana,CO2 emissions (kt),3780.677,3850.35,3978.695,3828.348,3898.0209999999997,4096.039000000001,4136.376,4231.718,4506.7429999999995,3887.02,4569.082,4033.7,5082.462,5669.182,6857.29,5430.826999999999
CAF,Central African Republic,CO2 emissions (kt),267.691,245.68900000000002,245.68900000000002,234.688,234.688,234.688,249.356,253.023,253.023,253.023,264.024,278.692,293.36,286.026,289.693,293.36
CAN,Canada,CO2 emissions (kt),534380.909,527926.989,519335.208,553100.944,553357.634,561425.034,571993.328,571846.6479999999,561791.7339999999,532191.71,527263.262,522774.854,517721.72799999994,519188.528,540614.809,549430.277
CHE,Switzerland,CO2 emissions (kt),39101.221,42984.574,40758.705,40193.987,40443.343,41444.434,41994.484000000004,38107.464,40509.349,41767.13,39141.558,37183.38,37854.441,40432.342000000004,35679.91,35672.576
CHL,Chile,CO2 emissions (kt),58815.013,53340.182,55162.681,55602.721,59775.767,61818.28599999999,64814.225,71638.512,71851.198,66805.406,72250.901,79243.87,80974.694,83226.232,79100.857,83244.567
CHN,China,CO2 emissions (kt),3405179.867,3487566.356,3850269.3260000004,4540417.061000001,5233538.733,5896957.705,6529291.517999999,6697654.489,7553070.247,7557789.676,8776040.416000001,9733538.12,10028573.939,10258007.127999999,10291926.877999999,10145004.856
CIV,Cote d'Ivoire,CO2 emissions (kt),6791.284000000001,7726.369000000001,7286.329000000001,5460.1630000000005,7664.03,7825.378000000001,6996.6359999999995,6776.616,6776.616,5658.181,6967.3,7245.991999999999,9292.178,10681.971000000001,11089.008,10960.663
CMR,Cameroon,CO2 emissions (kt),3432.312,3421.3109999999997,3417.6440000000002,3795.345,3956.6929999999998,3696.336,3861.3509999999997,5834.196999999999,5544.504,6725.278,6780.283,6299.906,6024.880999999999,5020.123,6798.618,7928.054
COD,"Congo, Dem. Rep.",CO2 emissions (kt),909.416,788.405,876.413,1070.764,1191.775,1499.8029999999999,1609.8129999999999,1756.493,1859.1689999999999,1749.1589999999999,2020.517,2493.56,2405.552,3589.993,4671.758,2838.258
COG,"Congo, Rep.",CO2 emissions (kt),1048.762,766.403,575.719,916.75,949.753,982.7560000000001,1118.435,1213.777,1309.119,1738.158,1972.846,2251.538,2962.9359999999997,3237.961,3157.2870000000003,3230.627
COL,Colombia,CO2 emissions (kt),57923.932,56273.782,55661.393,57421.553,55071.005999999994,60945.54,62940.388,62430.675,68088.856,73288.662,77040.003,76926.326,80186.289,92734.763,86680.546,94109.888
COM,Comoros,CO2 emissions (kt),102.676,102.676,102.676,132.012,143.013,139.346,161.34799999999998,102.676,106.34299999999999,132.012,161.34799999999998,135.679,143.013,176.016,154.014,168.68200000000002
CPV,Cabo Verde,CO2 emissions (kt),216.35299999999998,234.688,275.025,308.028,330.03,440.04,473.043,506.046,469.376,524.381,557.384,616.056,506.046,498.712,491.37800000000004,495.045
CRI,Costa Rica,CO2 emissions (kt),5474.831,5760.857,6325.575,6626.269,6930.63,6868.291,7099.312,8122.405,8129.7390000000005,7902.385,7568.688,7374.3369999999995,7337.6669999999995,7719.035,7843.713000000001,7513.683000000001
CSS,Caribbean small states,CO2 emissions (kt),42757.22,45797.163,46926.599,50908.960999999996,52496.772000000004,56842.167,62397.672,63805.8,64051.489,61715.61,65419.28,63937.812000000005,62746.037000000004,65254.265,63710.458,63266.751
CUB,Cuba,CO2 emissions (kt),26083.371,25452.647,26090.705,25485.65,25005.272999999997,26006.363999999998,26505.076,25958.693,27942.54,28206.564,34114.101,29380.004,29746.703999999998,27953.541,27623.511000000002,29244.325
