Country Code,Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BRN,Brunei Darussalam,Urban population,237094.0,243641.0,249843.0,255858.0,261646.0,267128.0,272251.0,277069.0,281728.0,286425.0,291333.0,296486.0,301859.0,307348.0,312785.0,318080.0
BTN,Bhutan,Urban population,150226.0,159844.0,169836.0,180114.0,190590.0,200882.0,208478.0,215879.0,223217.0,230698.0,238507.0,246710.0,255173.0,263846.0,272652.0,281528.0
BWA,Botswana,Urban population,874566.0,905364.0,930223.0,954422.0,979656.0,1006476.0,1035452.0,1086416.0,1138732.0,1190403.0,1240192.0,1287136.0,1320976.0,1352446.0,1386171.0,1424167.0
CAF,Central African Republic,Urban population,1370220.0,1403945.0,1437280.0,1470347.0,1503406.0,1537372.0,1572814.0,1609475.0,1645502.0,1678401.0,1706628.0,1729233.0,1747415.0,1764187.0,1783840.0,1809714.0
CAN,Canada,Urban population,24388404.0,24757782.0,25052940.0,25304780.0,25566897.0,25834340.0,26126316.0,26441461.0,26789863.0,27158023.0,27522537.0,27847821.0,28166078.0,28479640.0,28781576.0,29011826.0
CEB,Central Europe and the Baltics,Urban population,66669587.0,66206030.0,65839890.0,65682785.0,65551568.0,65430714.0,65329206.0,65168162.0,65021934.0,64961672.0,64768515.0,64654506.0,64524893.0,64402919.0,64285250.0,64165146.0
CHE,Switzerland,Urban population,5272018.0,5304905.0,5347082.0,5388808.0,5427827.0,5464643.0,5500991.0,5552336.0,5625324.0,5697988.0,5759681.0,5825978.0,5889928.0,5959745.0,6034707.0,6105617.0
CHI,Channel Islands,Urban population,45223.0,45467.0,45712.0,45949.0,46241.0,46630.0,47134.0,47731.0,48383.0,49023.0,49604.0,50056.0,50333.0,50586.0,50863.0,51207.0
CHL,Chile,Urban population,13205623.0,13400181.0,13583639.0,13736101.0,13888984.0,14043851.0,14202578.0,14364739.0,14529334.0,14693852.0,14857033.0,15015959.0,15171189.0,15330437.0,15504104.0,15698027.0
CHN,China,Urban population,452999147.0,471767321.0,491993700.0,512473984.0,533257098.0,554367818.0,575118254.0,595670841.0,616481190.0,637407288.0,658498663.0,678933504.0,699187267.0,719587859.0,740239259.0,761027100.0
CIV,Cote d'Ivoire,Urban population,7101012.0,7342526.0,7578948.0,7814051.0,8053836.0,8302481.0,8561994.0,8832381.0,9114825.0,9409746.0,9718245.0,10041393.0,10379711.0,10732981.0,11100535.0,11483934.0
CMR,Cameroon,Urban population,7065361.0,7349440.0,7645216.0,7953193.0,8274119.0,8607975.0,8955660.0,9317566.0,9693717.0,10083755.0,10487740.0,10905608.0,11337560.0,11783316.0,12242760.0,12715783.0
COD,"Congo, Dem. Rep.",Urban population,16544508.0,17234266.0,17981229.0,18783707.0,19635486.0,20534304.0,21483246.0,22487132.0,23545867.0,24661566.0,25833935.0,27065209.0,28355103.0,29704531.0,31115109.0,32586918.0
COG,"Congo, Rep.",Urban population,1835634.0,1903600.0,1973553.0,2046742.0,2124992.0,2209458.0,2301052.0,2399046.0,2501001.0,2603306.0,2703391.0,2800043.0,2894149.0,2987552.0,3083060.0,3182830.0
COL,Colombia,Urban population,29309133.0,29941978.0,30573545.0,31200435.0,31817836.0,32422511.0,33015425.0,33597407.0,34166609.0,34720224.0,35257425.0,35769913.0,36262053.0,36759801.0,37299404.0,37904385.0
COM,Comoros,Urban population,152294.0,155849.0,159409.0,162990.0,166645.0,170491.0,174541.0,178800.0,183275.0,187979.0,192928.0,198122.0,203574.0,209275.0,215196.0,221333.0
CPV,Cabo Verde,Urban population,228802.0,236551.0,244270.0,251947.0,259568.0,267119.0,274601.0,282010.0,289438.0,296947.0,304564.0,310897.0,317394.0,324023.0,330707.0,337410.0
CRI,Costa Rica,Urban population,2339860.0,2436984.0,2532444.0,2626685.0,2720493.0,2814375.0,2908602.0,3002811.0,3096962.0,3190512.0,3283628.0,3376037.0,3466588.0,3555158.0,3641672.0,3726119.0
CSS,Caribbean small states,Urban population,3272900.0,3300931.0,3326489.0,3351008.0,3375371.0,3398954.0,3422329.0,3445560.0,3468893.0,3492535.0,3516866.0,3543231.0,3572970.0,3603789.0,3635510.0,3667773.0
